date,store_id,region,category,product,quantity,unit_price,revenue,cost
2025-08-02,S06,Казань,Одежда,Кроссовки,3.0,5977.66,17932.98,11170.75
2024-09-28,S09,Ростов-на-Дону,Одежда,Футболка,6.0,1640.83,9844.98,4715.86
2023-06-19,S04,Санкт-Петербург,Электроника,Наушники,1.0,3196.68,3196.68,2444.24
2025-07-21,S07,Екатеринбург,Электроника,Планшет,1.0,20249.52,20249.52,16486.86
2025-12-29,S02,Москва,Продукты,Мёд 500г,10.0,644.08,6440.8,4530.11
2023-12-21,S05,Санкт-Петербург,Бытовая техника,Пылесос,8.0,12703.32,101626.56,73994.14
2025-06-02,S07,Екатеринбург,Канцтовары,Степлер,4.0,414.48,1657.92,756.37
2024-06-16,S09,Ростов-на-Дону,Продукты,Шоколад,2.0,236.9,473.8,360.07
2023-08-26,S09,Ростов-на-Дону,Бытовая техника,Чайник,2.0,3059.81,6119.62,4318.2
2025-02-13,S03,Москва,Канцтовары,Ежедневник,1.0,651.88,651.88,283.93
2023-06-03,S02,Москва,Продукты,Мёд 500г,3.0,610.87,1832.61,1297.41
2024-05-04,S01,Москва,Одежда,Джинсы,1.0,4638.32,4638.32,2235.51
2024-05-14,S07,Екатеринбург,Одежда,Кроссовки,1.0,7211.31,,4507.6
2023-04-06,S02,Москва,Электроника,Смартфон,,22533.21,90132.84,68139.77
2024-04-11,S07,Екатеринбург,Канцтовары,Степлер,6.0,433.08,2598.48,1136.5
2023-11-07,S08,Новосибирск,Одежда,Джинсы,2.0,4255.16,8510.32,5396.58
2024-08-23,S10,Самара,Электроника,Колонка,1.0,6308.05,6308.05,4752.39
2023-05-10,S07,Екатеринбург,Электроника,Планшет,1.0,17604.67,17604.67,13177.05
2025-01-04,S09,Ростов-на-Дону,Одежда,Кроссовки,1.0,6489.53,6489.53,3368.67
2024-12-25,S01,Москва,Канцтовары,Набор ручек,1.0,335.65,335.65,188.94
2024-07-17,S05,Санкт-Петербург,Бытовая техника,Утюг,1.0,5158.47,5158.47,3936.86
2025-04-19,S07,Екатеринбург,Канцтовары,Набор ручек,9.0,344.82,3103.38,1429.61
2025-09-25,S05,Санкт-Петербург,Бытовая техника,Блендер,1.0,5451.06,5451.06,4176.06
2024-04-23,S10,Самара,Одежда,Футболка,4.0,1931.24,,4716.83
2024-02-22,S01,Москва,Продукты,Шоколад,1.0,253.28,253.28,187.13
2025-12-17,S02,Москва,Электроника,Смартфон,15.0,27866.25,,321314.08
2024-05-20,S09,Ростов-на-Дону,Одежда,Кроссовки,6.0,5935.59,35613.54,21387.6
2023-10-21,S01,Москва,Электроника,Наушники,1.0,3580.16,3580.16,2903.44
2024-07-29,S03,Москва,Бытовая техника,Пылесос,1.0,13545.76,13545.76,9914.25
2024-07-14,S05,Санкт-Петербург,Одежда,Кроссовки,1.0,5861.12,5861.12,3027.75
2025-09-18,S04,Санкт-Петербург,Продукты,Чай 100п,2.0,468.38,936.76,614.77
2024-04-25,S05,Санкт-Петербург,Бытовая техника,Блендер,1.0,5532.82,5532.82,4124.64
2023-04-22,S02,Москва,Одежда,Куртка,3.0,8318.59,24955.77,12179.0
2024-12-31,S04,Санкт-Петербург,Одежда,Футболка,1.0,2026.53,2026.53,1265.59
2024-08-08,S02,Москва,Бытовая техника,Блендер,4.0,5026.67,20106.68,13865.29
2023-03-10,S04,Санкт-Петербург,Бытовая техника,Блендер,2.0,4539.48,9078.96,6298.53
2023-03-13,S02,Москва,Бытовая техника,Чайник,1.0,3431.38,3431.38,2347.19
2023-06-30,S09,Ростов-на-Дону,Электроника,Смартфон,1.0,25103.54,25103.54,20564.62
2024-05-25,S08,Новосибирск,Канцтовары,Ежедневник,1.0,707.13,707.13,305.71
2025-06-27,S10,Самара,Продукты,Кофе 1кг,4.0,907.48,3629.92,2436.63
2023-03-04,S02,Москва,Электроника,Планшет,,16205.92,81029.6,61669.99
2024-08-18,S05,Санкт-Петербург,Электроника,Планшет,1.0,,17887.95,14237.45
2024-10-25,S06,Казань,Электроника,Колонка,10.0,5449.99,,40292.03
2024-05-18,S05,Санкт-Петербург,Продукты,Кофе 1кг,3.0,978.32,2934.96,2025.34
2023-05-10,S06,Казань,Продукты,Кофе 1кг,2.0,828.63,1657.26,1210.72
2025-03-06,S01,Москва,Канцтовары,Набор ручек,4.0,318.06,1272.24,658.68
2023-05-20,S10,Самара,Канцтовары,Степлер,1.0,426.63,426.63,172.79
2025-12-13,S06,Казань,Одежда,Кроссовки,1.0,6906.73,6906.73,3933.65
2024-04-03,S07,Екатеринбург,Бытовая техника,Пылесос,3.0,11112.33,33336.99,23709.96
2024-04-08,S03,Москва,Бытовая техника,Блендер,1.0,5346.96,5346.96,3842.57
2025-11-21,S01,Москва,Продукты,Чай 100п,5.0,428.99,2144.95,1577.72
2025-05-26,S06,Казань,Продукты,Шоколад,4.0,269.73,1078.92,728.82
2024-05-30,S03,Москва,Канцтовары,Степлер,3.0,430.36,1291.08,761.01
2023-08-25,S07,Екатеринбург,Продукты,Чай 100п,9.0,505.57,4550.13,3432.84
2023-02-27,S03,Москва,Бытовая техника,Блендер,1.0,4923.74,4923.74,3516.33
2025-02-27,S10,Самара,Бытовая техника,Утюг,6.0,4098.39,24590.34,17213.73
2023-07-08,S02,Москва,Продукты,Чай 100п,1.0,459.17,459.17,332.29
2023-04-10,S05,Санкт-Петербург,Продукты,Мёд 500г,2.0,544.08,1088.16,799.38
2023-12-06,S01,Москва,Бытовая техника,Блендер,1.0,4538.94,4538.94,3505.1
2025-02-05,S06,Казань,Электроника,Смартфон,3.0,27895.65,,63646.77
2024-11-10,S01,Москва,Канцтовары,Ежедневник,1.0,689.65,689.65,365.69
2025-05-08,S09,Ростов-на-Дону,Канцтовары,Калькулятор,5.0,1302.39,6511.95,2646.63
2023-10-06,S03,Москва,Одежда,Кроссовки,13.0,6430.02,83590.26,49547.04
2025-03-22,S04,Санкт-Петербург,Продукты,Чай 100п,1.0,462.37,462.37,309.78
2025-01-19,S06,Казань,Канцтовары,Степлер,3.0,460.11,1380.33,624.0
2025-11-29,S06,Казань,Одежда,Куртка,1.0,8979.38,8979.38,5405.7
2023-05-02,S07,Екатеринбург,Электроника,Колонка,1.0,6213.52,6213.52,4707.09
2025-03-12,S02,Москва,Бытовая техника,Пылесос,2.0,11697.39,23394.78,16002.29
2025-02-16,S08,Новосибирск,Бытовая техника,Пылесос,4.0,12957.05,51828.2,37354.1
2025-12-06,S06,Казань,Электроника,Наушники,1.0,3886.92,3886.92,3178.02
2023-06-11,S10,Самара,Бытовая техника,Пылесос,1.0,12981.82,12981.82,9244.49
2023-03-19,S07,Екатеринбург,Одежда,Кроссовки,1.0,6781.17,6781.17,3855.47
2025-04-29,S05,Санкт-Петербург,Продукты,Чай 100п,3.0,418.66,1255.98,926.85
2025-03-10,S10,Самара,Одежда,Футболка,2.0,1781.49,3562.98,2035.01
2023-11-04,S09,Ростов-на-Дону,Электроника,Планшет,7.0,17181.93,120273.51,96462.86
2024-08-21,S05,Санкт-Петербург,Бытовая техника,Блендер,1.0,4939.38,4939.38,3678.99
2025-01-12,S03,Москва,Продукты,Шоколад,2.0,253.84,507.68,352.71
2024-02-10,S06,Казань,Продукты,Мёд 500г,1.0,581.89,581.89,436.82
2023-12-31,S03,Москва,Продукты,Чай 100п,2.0,407.07,814.14,536.67
2023-08-14,S01,Москва,Продукты,Шоколад,1.0,236.62,236.62,165.38
2023-01-19,S01,Москва,Канцтовары,Ежедневник,1.0,654.45,654.45,337.1
2023-02-01,S07,Екатеринбург,Бытовая техника,Блендер,1.0,5616.68,5616.68,4093.91
2024-05-07,S03,Москва,Электроника,Смартфон,1.0,23965.16,23965.16,19683.8
2024-01-14,S08,Новосибирск,Электроника,Колонка,2.0,,11012.66,8227.74
2023-11-04,S02,Москва,Продукты,Мёд 500г,1.0,650.4,650.4,452.22
2024-11-02,S08,Новосибирск,Бытовая техника,Чайник,13.0,3104.32,40356.16,30491.36
2024-03-08,S07,Екатеринбург,Канцтовары,Степлер,8.0,437.63,3501.04,1826.27
2024-12-07,S07,Екатеринбург,Бытовая техника,Блендер,2.0,5280.19,10560.38,7541.91
2024-11-20,S08,Новосибирск,Электроника,Колонка,7.0,5488.14,38416.98,30843.46
2024-07-07,S01,Москва,Электроника,Колонка,1.0,6031.99,6031.99,4605.09
2025-07-05,S02,Москва,Бытовая техника,Чайник,1.0,3066.04,3066.04,2112.52
2024-07-25,S01,Москва,Канцтовары,Калькулятор,3.0,1368.96,4106.88,2398.61
2023-01-11,S05,Санкт-Петербург,Электроника,Колонка,1.0,5633.65,5633.65,4547.02
2025-09-09,S03,Москва,Электроника,Смартфон,1.0,27904.46,,21396.39
2023-08-24,S02,Москва,Одежда,Футболка,2.0,1928.66,3857.32,2327.13
2023-04-26,S01,Москва,Электроника,Смартфон,1.0,24365.22,,19408.19
2023-03-31,S04,Санкт-Петербург,Одежда,Кроссовки,3.0,6904.05,20712.15,10038.86
2025-09-09,S04,Санкт-Петербург,Бытовая техника,Блендер,1.0,5260.95,5260.95,3803.32
2025-04-06,S01,Москва,Одежда,Футболка,2.0,1733.78,3467.56,1743.52
2024-03-01,S03,Москва,Продукты,Шоколад,1.0,,259.99,192.38
2023-05-23,S02,Москва,Канцтовары,Ежедневник,10.0,702.76,7027.6,3183.51
2025-02-26,S10,Самара,Одежда,Кроссовки,9.0,5939.73,53457.57,32975.63
2024-08-21,S03,Москва,Канцтовары,Степлер,1.0,492.17,492.17,245.65
2024-04-16,S03,Москва,Одежда,Кроссовки,1.0,6163.41,6163.41,3354.13
2025-10-26,S06,Казань,Бытовая техника,Чайник,6.0,3127.94,18767.64,13117.16
2025-04-23,S06,Казань,Продукты,Шоколад,1.0,265.04,265.04,177.29
2024-02-07,S06,Казань,Канцтовары,Калькулятор,4.0,1212.04,4848.16,2317.72
2023-12-05,S08,Новосибирск,Канцтовары,Набор ручек,1.0,392.03,392.03,164.05
2023-10-01,S03,Москва,Бытовая техника,Пылесос,1.0,12734.5,12734.5,8864.75
2025-10-03,S07,Екатеринбург,Одежда,Футболка,1.0,2002.71,2002.71,1270.61
2025-10-18,S08,Новосибирск,Электроника,Колонка,1.0,5423.24,5423.24,4433.58
2023-01-05,S04,Санкт-Петербург,Бытовая техника,Чайник,1.0,3238.14,3238.14,2165.38
2023-08-05,S05,Санкт-Петербург,Одежда,Кроссовки,1.0,7137.74,7137.74,4521.85
2023-05-17,S03,Москва,Бытовая техника,Пылесос,1.0,12816.18,12816.18,9782.23
2023-09-24,S06,Казань,Канцтовары,Калькулятор,1.0,1340.99,1340.99,592.58
2024-09-16,S01,Москва,Одежда,Футболка,2.0,1958.45,3916.9,2280.6
2024-01-25,S06,Казань,Бытовая техника,Блендер,2.0,5502.11,11004.22,8018.36
2024-05-11,S04,Санкт-Петербург,Бытовая техника,Пылесос,1.0,12520.1,12520.1,8578.09
2025-12-13,S08,Новосибирск,Одежда,Кроссовки,8.0,6037.78,48302.24,26544.79
2025-02-24,S09,Ростов-на-Дону,Электроника,Смартфон,9.0,24302.53,218722.77,172730.97
2024-03-26,S06,Казань,Электроника,Колонка,1.0,5462.14,5462.14,4344.79
2025-02-03,S09,Ростов-на-Дону,Продукты,Чай 100п,1.0,458.33,458.33,300.53
2023-05-13,S07,Екатеринбург,Канцтовары,Калькулятор,1.0,1356.7,1356.7,605.98
2025-02-12,S01,Москва,Бытовая техника,Блендер,5.0,5165.44,25827.2,19052.35
2024-12-03,S04,Санкт-Петербург,Канцтовары,Калькулятор,1.0,1312.6,1312.6,657.17
2024-04-22,S09,Ростов-на-Дону,Канцтовары,Ежедневник,4.0,787.91,3151.64,1634.23
2023-12-21,S01,Москва,Электроника,Наушники,2.0,3158.6,6317.2,5022.27
2024-01-28,S07,Екатеринбург,Электроника,Планшет,,20180.57,20180.57,15502.78
2024-08-07,S07,Екатеринбург,Одежда,Кроссовки,6.0,6476.52,38859.12,19540.38
2024-02-27,S01,Москва,Продукты,Мёд 500г,3.0,656.4,1969.2,1446.35
2024-04-15,S08,Новосибирск,Канцтовары,Степлер,2.0,470.02,940.04,533.87
2025-12-27,S06,Казань,Канцтовары,Ежедневник,1.0,708.04,708.04,321.89
2025-12-17,S02,Москва,Электроника,Смартфон,1.0,25915.48,25915.48,19628.78
2023-07-24,S05,Санкт-Петербург,Электроника,Колонка,2.0,5667.58,,9106.45
2023-02-01,S06,Казань,Продукты,Чай 100п,2.0,507.41,1014.82,700.65
2023-07-21,S02,Москва,Продукты,Шоколад,1.0,262.42,262.42,195.07
2025-12-17,S09,Ростов-на-Дону,Одежда,Джинсы,2.0,4705.56,9411.12,4802.87
2024-04-19,S04,Санкт-Петербург,Электроника,Наушники,4.0,3678.26,14713.04,11366.13
2024-07-17,S06,Казань,Бытовая техника,Чайник,3.0,3592.11,10776.33,8287.36
2023-02-11,S08,Новосибирск,Канцтовары,Степлер,1.0,413.5,413.5,190.6
2024-02-09,S10,Самара,Канцтовары,Набор ручек,2.0,317.56,635.12,316.35
2023-09-23,S06,Казань,Электроника,Смартфон,1.0,22638.77,22638.77,16819.38
2025-02-26,S03,Москва,Канцтовары,Ежедневник,2.0,804.91,1609.82,827.13
2025-06-11,S09,Ростов-на-Дону,Электроника,Колонка,1.0,5747.62,5747.62,4292.23
2025-02-06,S08,Новосибирск,Продукты,Шоколад,3.0,247.58,742.74,558.18
2025-04-12,S10,Самара,Бытовая техника,Чайник,4.0,3435.25,13741.0,9284.74
2024-11-01,S06,Казань,Одежда,Футболка,1.0,2022.4,2022.4,937.47
2023-09-28,S03,Москва,Бытовая техника,Чайник,1.0,3410.82,,2493.07
2025-12-03,S01,Москва,Электроника,Колонка,10.0,5332.89,53328.9,40957.27
2025-09-04,S01,Москва,Одежда,Футболка,1.0,1808.05,1808.05,1063.05
2025-01-23,S06,Казань,Бытовая техника,Пылесос,1.0,13142.05,13142.05,9346.64
2025-11-19,S02,Москва,Продукты,Шоколад,8.0,278.6,2228.8,1578.62
2024-09-10,S03,Москва,Электроника,Планшет,3.0,16282.71,48848.13,38955.29
2023-09-17,S02,Москва,Одежда,Куртка,6.0,7853.06,47118.36,22222.13
2025-12-16,S03,Москва,Электроника,Смартфон,8.0,26172.67,209381.36,165302.5
2024-02-08,S09,Ростов-на-Дону,Одежда,Куртка,1.0,9157.25,9157.25,5170.11
2023-09-08,S09,Ростов-на-Дону,Бытовая техника,Пылесос,8.0,13359.38,,71771.78
2024-02-14,S08,Новосибирск,Канцтовары,Калькулятор,1.0,1104.91,1104.91,565.55
2024-05-07,S01,Москва,Электроника,Колонка,2.0,6318.1,12636.2,9976.49
2023-05-30,S07,Екатеринбург,Бытовая техника,Утюг,3.0,4909.09,14727.27,10895.89
2023-09-22,S06,Казань,Бытовая техника,Пылесос,4.0,13596.39,54385.56,37648.81
2024-08-17,S10,Самара,Канцтовары,Калькулятор,5.0,1141.99,5709.95,3391.19
2024-09-22,S03,Москва,Одежда,Футболка,2.0,1706.07,3412.14,1626.04
2025-02-13,S03,Москва,Бытовая техника,Блендер,1.0,4735.25,4735.25,3422.15
2023-02-07,S04,Санкт-Петербург,Одежда,Куртка,4.0,8719.34,34877.36,19274.89
2024-06-10,S10,Самара,Одежда,Куртка,1.0,8039.37,8039.37,4646.3
2025-11-23,S08,Новосибирск,Одежда,Кроссовки,7.0,6124.69,42872.83,23022.55
2023-09-17,S05,Санкт-Петербург,Канцтовары,Калькулятор,3.0,1223.1,3669.3,2173.43
2024-09-28,S10,Самара,Продукты,Шоколад,1.0,287.35,287.35,208.76
2025-09-30,S01,Москва,Электроника,Наушники,1.0,3165.57,3165.57,2537.96
2024-09-06,S03,Москва,Продукты,Кофе 1кг,3.0,823.8,2471.4,1693.38
2025-11-28,S04,Санкт-Петербург,Бытовая техника,Блендер,6.0,5558.77,33352.62,24451.6
2023-09-25,S05,Санкт-Петербург,Бытовая техника,Пылесос,3.0,12606.16,37818.48,29165.92
2023-06-19,S09,Ростов-на-Дону,Одежда,Футболка,,1937.81,1937.81,1210.61
2024-06-05,S07,Екатеринбург,Бытовая техника,Пылесос,1.0,12729.04,12729.04,8493.46
2024-02-24,S06,Казань,Электроника,Смартфон,2.0,27936.85,55873.7,43132.7
2024-09-17,S08,Новосибирск,Электроника,Колонка,2.0,6209.41,12418.82,10022.52
2024-11-24,S04,Санкт-Петербург,Бытовая техника,Чайник,2.0,2894.71,5789.42,3881.09
2025-12-07,S07,Екатеринбург,Канцтовары,Калькулятор,1.0,1257.39,1257.39,613.29
2024-11-04,S03,Москва,Электроника,Наушники,2.0,3584.32,7168.64,5710.96
2023-09-30,S01,Москва,Бытовая техника,Чайник,3.0,3129.75,9389.25,6448.67
2024-07-23,S07,Екатеринбург,Электроника,Наушники,1.0,3875.31,3875.31,3156.38
2023-11-30,S06,Казань,Одежда,Футболка,,1723.72,1723.72,1038.06
2024-06-04,S06,Казань,Электроника,Колонка,,5038.29,10076.58,8064.57
2023-05-08,S02,Москва,Электроника,Наушники,3.0,3969.14,11907.42,9214.37
2025-12-19,S06,Казань,Канцтовары,Ежедневник,2.0,643.4,1286.8,617.23
2024-02-27,S08,Новосибирск,Продукты,Чай 100п,2.0,441.45,882.9,663.94
2025-04-29,S02,Москва,Одежда,Футболка,1.0,1670.56,1670.56,834.12
2025-08-19,S05,Санкт-Петербург,Одежда,Футболка,4.0,1875.52,7502.08,3542.12
2025-07-25,S04,Санкт-Петербург,Электроника,Планшет,2.0,20652.77,41305.54,30586.33
2024-06-03,S02,Москва,Бытовая техника,Чайник,9.0,2988.6,26897.4,17967.26
2023-07-05,S04,Санкт-Петербург,Одежда,Футболка,1.0,1913.71,1913.71,1164.32
2024-05-28,S07,Екатеринбург,Канцтовары,Степлер,3.0,445.07,1335.21,651.55
2024-09-30,S10,Самара,Одежда,Джинсы,3.0,3877.18,11631.54,7150.03
2025-03-13,S06,Казань,Продукты,Шоколад,5.0,226.76,1133.8,812.88
2024-09-02,S08,Новосибирск,Бытовая техника,Пылесос,1.0,11150.26,11150.26,8419.6
2023-05-06,S05,Санкт-Петербург,Бытовая техника,Пылесос,3.0,11800.22,35400.66,25375.17
2024-05-22,S02,Москва,Электроника,Колонка,4.0,5770.8,23083.2,18147.75
2024-06-22,S01,Москва,Продукты,Кофе 1кг,2.0,853.37,1706.74,1241.34
2024-07-04,S09,Ростов-на-Дону,Бытовая техника,Чайник,1.0,2961.51,2961.51,2093.75
2025-08-16,S08,Новосибирск,Электроника,Наушники,6.0,3312.07,19872.42,15632.47
2025-08-09,S01,Москва,Продукты,Кофе 1кг,1.0,1029.74,1029.74,778.52
2023-07-09,S07,Екатеринбург,Канцтовары,Калькулятор,5.0,1327.08,6635.4,3247.22
2023-10-24,S05,Санкт-Петербург,Электроника,Наушники,1.0,3593.18,3593.18,2713.05
2024-08-14,S10,Самара,Канцтовары,Степлер,1.0,475.57,475.57,192.78
2025-10-06,S04,Санкт-Петербург,Продукты,Кофе 1кг,1.0,901.18,901.18,594.58
2023-08-01,S10,Самара,Электроника,Наушники,2.0,3384.39,6768.78,5058.46
2023-08-05,S02,Москва,Канцтовары,Набор ручек,1.0,365.76,365.76,181.29
2023-08-21,S10,Самара,Одежда,Куртка,2.0,8719.76,17439.52,11037.89
2024-11-15,S02,Москва,Продукты,Кофе 1кг,1.0,910.29,910.29,634.16
2025-09-10,S01,Москва,Одежда,Куртка,5.0,9318.28,46591.4,25168.3
2023-06-11,S09,Ростов-на-Дону,Канцтовары,Степлер,1.0,465.43,465.43,264.76
2025-08-06,S04,Санкт-Петербург,Одежда,Джинсы,4.0,4068.81,16275.24,9555.19
2025-06-13,S08,Новосибирск,Одежда,Кроссовки,1.0,6142.82,6142.82,3042.95
2024-03-12,S05,Санкт-Петербург,Продукты,Кофе 1кг,4.0,903.63,3614.52,2665.56
2024-02-22,S08,Новосибирск,Бытовая техника,Утюг,2.0,4723.38,9446.76,7275.79
