year,month,region,category,revenue,profit,cost,orders,qty
2023,2,Екатеринбург,Канцтовары,4351.0,2096.0,2255.0,2,6.0
2023,2,Екатеринбург,Одежда,1777.0,640.0,1137.0,1,1.0
2023,2,Екатеринбург,Продукты,454.0,153.0,301.0,1,2.0
2023,2,Екатеринбург,Электроника,75577.0,15724.0,59852.0,1,3.0
2023,2,Казань,Канцтовары,715.0,308.0,407.0,1,1.0
2023,2,Казань,Одежда,17022.0,8335.0,8688.0,1,2.0
2023,2,Казань,Продукты,1875.0,571.0,1305.0,2,3.0
2023,2,Москва,Бытовая техника,16056.0,5141.0,10915.0,2,3.0
2023,2,Москва,Канцтовары,1132.0,593.0,538.0,2,3.0
2023,2,Москва,Одежда,89858.0,36752.0,53106.0,3,13.0
2023,2,Москва,Продукты,1870.0,535.0,1335.0,3,3.0
2023,2,Москва,Электроника,126192.0,25513.0,100679.0,2,8.0
2023,2,Новосибирск,Канцтовары,8997.0,4922.0,4074.0,4,8.0
2023,2,Новосибирск,Одежда,10734.0,-2214.0,12948.0,3,6.0
2023,2,Новосибирск,Продукты,2900.0,945.0,1955.0,2,5.0
2023,2,Новосибирск,Электроника,264800.0,61834.0,202966.0,5,16.0
2023,2,Ростов-на-Дону,Бытовая техника,16635.0,5582.0,11053.0,1,5.0
2023,2,Ростов-на-Дону,Продукты,8770.0,5819.0,2951.0,2,5.0
2023,2,Ростов-на-Дону,Электроника,86155.0,20654.0,65501.0,5,21.0
2023,2,Самара,Бытовая техника,4178.0,1076.0,3102.0,1,1.0
2023,2,Самара,Канцтовары,1761.0,865.0,895.0,2,4.0
2023,2,Самара,Одежда,4918.0,2138.0,2780.0,1,3.0
2023,2,Самара,Продукты,1348.0,455.0,893.0,1,3.0
2023,2,Самара,Электроника,49551.0,11372.0,38179.0,4,10.0
2023,2,Санкт-Петербург,Бытовая техника,30770.0,9612.0,21159.0,2,7.0
2023,2,Санкт-Петербург,Канцтовары,4050.0,2031.0,2019.0,3,11.0
2023,2,Санкт-Петербург,Одежда,69476.0,29346.0,40130.0,3,8.0
2023,2,Санкт-Петербург,Продукты,507.0,135.0,372.0,1,1.0
2023,3,Екатеринбург,Бытовая техника,10006.0,2419.0,7587.0,2,2.0
2023,3,Екатеринбург,Канцтовары,2215.0,1019.0,1196.0,4,6.0
2023,3,Екатеринбург,Одежда,56034.0,22747.0,33286.0,5,10.0
2023,3,Казань,Бытовая техника,20846.0,6580.0,14266.0,1,6.0
2023,3,Казань,Канцтовары,5280.0,2642.0,2638.0,4,5.0
2023,3,Казань,Одежда,9608.0,3941.0,5667.0,1,1.0
2023,3,Казань,Продукты,3835.0,1125.0,2709.0,2,5.0
2023,3,Казань,Электроника,5207.0,1283.0,3923.0,1,1.0
2023,3,Москва,Бытовая техника,23429.0,6185.0,17244.0,3,7.0
2023,3,Москва,Канцтовары,720.0,328.0,392.0,1,1.0
2023,3,Москва,Одежда,15652.0,7577.0,8074.0,3,3.0
2023,3,Москва,Продукты,6263.0,1957.0,4306.0,4,13.0
2023,3,Москва,Электроника,167002.0,38837.0,128164.0,5,9.0
2023,3,Новосибирск,Бытовая техника,34509.0,8719.0,25789.0,2,8.0
2023,3,Новосибирск,Канцтовары,1262.0,620.0,643.0,1,1.0
2023,3,Новосибирск,Одежда,40868.0,20593.0,20275.0,1,5.0
2023,3,Новосибирск,Продукты,1095.0,324.0,771.0,2,2.0
2023,3,Новосибирск,Электроника,7269.0,1485.0,5784.0,1,2.0
2023,3,Ростов-на-Дону,Бытовая техника,39631.0,12948.0,26683.0,2,8.0
2023,3,Ростов-на-Дону,Канцтовары,14388.0,6787.0,7601.0,3,13.0
2023,3,Ростов-на-Дону,Продукты,7334.0,4227.0,3107.0,4,10.0
2023,3,Ростов-на-Дону,Электроника,69147.0,15702.0,53445.0,1,3.0
2023,3,Самара,Бытовая техника,71418.0,18972.0,52446.0,3,7.0
2023,3,Самара,Канцтовары,13176.0,5941.0,7235.0,2,15.0
2023,3,Самара,Одежда,26179.0,11031.0,15148.0,2,5.0
2023,3,Самара,Продукты,10253.0,3367.0,6887.0,1,12.0
2023,3,Самара,Электроника,7119.0,1521.0,5597.0,1,2.0
2023,3,Санкт-Петербург,Бытовая техника,19007.0,5981.0,13026.0,3,4.0
2023,3,Санкт-Петербург,Канцтовары,9901.0,5325.0,4576.0,4,13.0
2023,3,Санкт-Петербург,Одежда,50139.0,24095.0,26044.0,4,8.0
2023,3,Санкт-Петербург,Продукты,237.0,84.0,152.0,1,1.0
2023,3,Санкт-Петербург,Электроника,22605.0,5545.0,17059.0,2,2.0
2023,4,Екатеринбург,Канцтовары,429.0,194.0,235.0,1,1.0
2023,4,Екатеринбург,Одежда,38335.0,16997.0,21338.0,2,6.0
2023,4,Екатеринбург,Продукты,1246.0,416.0,830.0,1,2.0
2023,4,Екатеринбург,Электроника,7080.0,1559.0,5521.0,2,2.0
2023,4,Казань,Бытовая техника,20200.0,5488.0,14711.0,2,6.0
2023,4,Казань,Канцтовары,4235.0,2483.0,1752.0,1,11.0
2023,4,Казань,Одежда,20905.0,10000.0,10904.0,2,3.0
2023,4,Казань,Продукты,1849.0,541.0,1308.0,3,4.0
2023,4,Казань,Электроника,67332.0,16924.0,50408.0,4,5.0
2023,4,Москва,Бытовая техника,37639.0,9719.0,27920.0,2,5.0
2023,4,Москва,Канцтовары,5590.0,2914.0,2676.0,4,11.0
2023,4,Москва,Одежда,47179.0,22554.0,24625.0,4,9.0
2023,4,Москва,Продукты,15283.0,4512.0,10771.0,8,23.0
2023,4,Москва,Электроника,263968.0,41117.0,222851.0,5,11.0
2023,4,Новосибирск,Бытовая техника,16204.0,3789.0,12415.0,1,4.0
2023,4,Новосибирск,Канцтовары,1326.0,556.0,770.0,1,1.0
2023,4,Новосибирск,Продукты,868.0,251.0,617.0,1,1.0
2023,4,Ростов-на-Дону,Бытовая техника,47817.0,12613.0,35204.0,2,7.0
2023,4,Ростов-на-Дону,Канцтовары,411.0,217.0,193.0,1,1.0
2023,4,Ростов-на-Дону,Продукты,1452.0,493.0,959.0,2,3.0
2023,4,Самара,Продукты,707.0,234.0,473.0,1,3.0
2023,4,Самара,Электроника,12554.0,2333.0,10221.0,1,2.0
2023,4,Санкт-Петербург,Бытовая техника,10375.0,3170.0,7205.0,1,3.0
2023,4,Санкт-Петербург,Канцтовары,972.0,408.0,564.0,1,2.0
2023,4,Санкт-Петербург,Одежда,190950.0,96499.0,94451.0,3,22.0
2023,4,Санкт-Петербург,Продукты,3904.0,1060.0,2844.0,4,7.0
2023,4,Санкт-Петербург,Электроника,85042.0,20387.0,64654.0,2,9.0
2023,5,Екатеринбург,Бытовая техника,28974.0,7870.0,21103.0,3,6.0
2023,5,Екатеринбург,Канцтовары,7459.0,3485.0,3974.0,5,10.0
2023,5,Екатеринбург,Одежда,9306.0,4996.0,4310.0,1,1.0
2023,5,Екатеринбург,Продукты,1033.0,323.0,710.0,1,1.0
2023,5,Екатеринбург,Электроника,35169.0,7352.0,27817.0,4,5.0
2023,5,Казань,Бытовая техника,10541.0,2852.0,7689.0,1,2.0
2023,5,Казань,Канцтовары,2991.0,1645.0,1346.0,2,5.0
2023,5,Казань,Одежда,1778.0,859.0,919.0,1,1.0
2023,5,Казань,Продукты,2636.0,693.0,1943.0,2,4.0
2023,5,Казань,Электроника,3312.0,708.0,2603.0,1,1.0
2023,5,Москва,Бытовая техника,55446.0,15324.0,40122.0,3,9.0
2023,5,Москва,Канцтовары,14503.0,9689.0,4814.0,5,17.0
2023,5,Москва,Одежда,138249.0,61360.0,76889.0,9,24.0
2023,5,Москва,Продукты,3081.0,873.0,2207.0,2,7.0
2023,5,Москва,Электроника,62580.0,13134.0,49447.0,3,6.0
2023,5,Новосибирск,Канцтовары,726.0,435.0,292.0,1,1.0
2023,5,Новосибирск,Продукты,2032.0,637.0,1395.0,1,3.0
2023,5,Новосибирск,Электроника,57681.0,12644.0,45037.0,3,3.0
2023,5,Ростов-на-Дону,Канцтовары,7008.0,3811.0,3197.0,2,12.0
2023,5,Ростов-на-Дону,Электроника,25307.0,4657.0,20650.0,1,2.0
2023,5,Самара,Канцтовары,1131.0,634.0,496.0,3,3.0
2023,5,Самара,Одежда,28676.0,14873.0,13803.0,1,4.0
2023,5,Самара,Продукты,2756.0,895.0,1861.0,3,7.0
2023,5,Самара,Электроника,46995.0,10751.0,36244.0,4,4.0
2023,5,Санкт-Петербург,Бытовая техника,167268.0,45070.0,122199.0,5,19.0
2023,5,Санкт-Петербург,Канцтовары,2007.0,1025.0,982.0,1,4.0
2023,5,Санкт-Петербург,Одежда,231321.0,104329.0,126991.0,6,29.0
2023,5,Санкт-Петербург,Электроника,37452.0,-10168.0,47620.0,2,10.0
2023,6,Екатеринбург,Канцтовары,5305.0,3542.0,1763.0,2,5.0
2023,6,Екатеринбург,Продукты,986.0,314.0,671.0,2,2.0
2023,6,Екатеринбург,Электроника,53705.0,10589.0,43115.0,1,2.0
2023,6,Казань,Бытовая техника,32944.0,10862.0,22083.0,1,2.0
2023,6,Казань,Канцтовары,715.0,403.0,312.0,1,1.0
2023,6,Казань,Одежда,8134.0,3186.0,4948.0,2,2.0
2023,6,Казань,Электроника,159729.0,29379.0,130350.0,1,6.0
2023,6,Москва,Бытовая техника,128357.0,35409.0,92948.0,6,18.0
2023,6,Москва,Канцтовары,398.0,234.0,165.0,1,1.0
2023,6,Москва,Одежда,14636.0,7662.0,6974.0,3,4.0
2023,6,Москва,Продукты,5677.0,1550.0,4128.0,4,9.0
2023,6,Москва,Электроника,3390.0,794.0,2597.0,1,1.0
2023,6,Новосибирск,Одежда,8047.0,4144.0,3903.0,2,4.0
2023,6,Новосибирск,Электроника,17138.0,4389.0,12748.0,1,1.0
2023,6,Ростов-на-Дону,Бытовая техника,13430.0,3855.0,9575.0,3,4.0
2023,6,Ростов-на-Дону,Канцтовары,5295.0,4323.0,972.0,2,4.0
2023,6,Ростов-на-Дону,Одежда,41532.0,19994.0,21538.0,4,10.0
2023,6,Ростов-на-Дону,Продукты,3179.0,904.0,2275.0,3,9.0
2023,6,Ростов-на-Дону,Электроника,95201.0,20917.0,74284.0,5,7.0
2023,6,Самара,Бытовая техника,12982.0,3737.0,9244.0,1,1.0
2023,6,Самара,Одежда,4300.0,1915.0,2385.0,1,2.0
2023,6,Самара,Продукты,2003.0,621.0,1382.0,2,5.0
2023,6,Санкт-Петербург,Бытовая техника,4896.0,1282.0,3614.0,1,1.0
2023,6,Санкт-Петербург,Канцтовары,4788.0,2644.0,2143.0,2,8.0
2023,6,Санкт-Петербург,Одежда,48706.0,23961.0,24745.0,5,8.0
2023,6,Санкт-Петербург,Электроника,3197.0,752.0,2444.0,1,1.0
2023,7,Екатеринбург,Канцтовары,13262.0,6471.0,6792.0,2,11.0
2023,7,Екатеринбург,Одежда,13227.0,6272.0,6955.0,2,3.0
2023,7,Екатеринбург,Продукты,1192.0,319.0,873.0,2,2.0
2023,7,Казань,Бытовая техника,3270.0,755.0,2515.0,1,1.0
2023,7,Казань,Канцтовары,1480.0,825.0,655.0,1,2.0
2023,7,Казань,Продукты,812.0,211.0,601.0,1,3.0
2023,7,Москва,Бытовая техника,35141.0,9925.0,25216.0,5,7.0
2023,7,Москва,Канцтовары,3067.0,1560.0,1507.0,4,5.0
2023,7,Москва,Одежда,67649.0,28210.0,39438.0,5,10.0
2023,7,Москва,Продукты,5265.0,1638.0,3627.0,6,10.0
2023,7,Москва,Электроника,62946.0,14108.0,48838.0,2,3.0
2023,7,Новосибирск,Одежда,6738.0,2932.0,3805.0,1,1.0
2023,7,Новосибирск,Электроника,147978.0,31846.0,116133.0,2,8.0
2023,7,Ростов-на-Дону,Бытовая техника,5090.0,1301.0,3789.0,1,1.0
2023,7,Ростов-на-Дону,Канцтовары,7321.0,5587.0,1734.0,3,5.0
2023,7,Ростов-на-Дону,Продукты,5853.0,1672.0,4180.0,4,9.0
2023,7,Ростов-на-Дону,Электроника,5544.0,1275.0,4269.0,1,1.0
2023,7,Самара,Канцтовары,2269.0,1207.0,1062.0,2,3.0
2023,7,Самара,Продукты,3067.0,738.0,2329.0,1,3.0
2023,7,Самара,Электроника,68204.0,15234.0,52971.0,1,3.0
2023,7,Санкт-Петербург,Бытовая техника,9033.0,2202.0,6832.0,2,2.0
2023,7,Санкт-Петербург,Канцтовары,5058.0,2576.0,2482.0,1,4.0
2023,7,Санкт-Петербург,Одежда,49792.0,20998.0,28794.0,6,20.0
2023,7,Санкт-Петербург,Продукты,750.0,224.0,526.0,2,3.0
2023,7,Санкт-Петербург,Электроника,36718.0,3608.0,33110.0,3,5.0
2023,8,Екатеринбург,Канцтовары,1521.0,832.0,689.0,2,2.0
2023,8,Екатеринбург,Продукты,4799.0,1184.0,3616.0,2,10.0
2023,8,Казань,Бытовая техника,4208.0,1222.0,2986.0,1,1.0
2023,8,Казань,Канцтовары,688.0,364.0,324.0,1,1.0
2023,8,Казань,Одежда,6606.0,2690.0,3916.0,1,1.0
2023,8,Казань,Продукты,4830.0,4422.0,408.0,1,1.0
2023,8,Казань,Электроника,154286.0,38740.0,115546.0,2,8.0
2023,8,Москва,Бытовая техника,22167.0,6467.0,15699.0,2,5.0
2023,8,Москва,Канцтовары,2479.0,1359.0,1120.0,4,6.0
2023,8,Москва,Одежда,34497.0,13334.0,21163.0,4,7.0
2023,8,Москва,Продукты,12407.0,3836.0,8570.0,5,25.0
2023,8,Москва,Электроника,8589.0,1655.0,6934.0,2,2.0
2023,8,Новосибирск,Бытовая техника,25655.0,8016.0,17639.0,1,2.0
2023,8,Новосибирск,Одежда,24071.0,12008.0,12064.0,1,5.0
2023,8,Новосибирск,Продукты,476.0,115.0,361.0,1,1.0
2023,8,Новосибирск,Электроника,68067.0,14487.0,53580.0,2,14.0
2023,8,Ростов-на-Дону,Бытовая техника,63869.0,18608.0,45261.0,4,7.0
2023,8,Ростов-на-Дону,Канцтовары,18167.0,10237.0,7930.0,5,25.0
2023,8,Ростов-на-Дону,Одежда,6938.0,3215.0,3723.0,1,1.0
2023,8,Ростов-на-Дону,Продукты,1059.0,356.0,703.0,1,4.0
2023,8,Ростов-на-Дону,Электроника,19789.0,3667.0,16122.0,2,4.0
2023,8,Самара,Бытовая техника,49320.0,14030.0,35290.0,2,10.0
2023,8,Самара,Канцтовары,2330.0,1171.0,1159.0,2,2.0
2023,8,Самара,Одежда,22058.0,8879.0,13179.0,2,3.0
2023,8,Самара,Электроника,68620.0,13252.0,55368.0,4,7.0
2023,8,Санкт-Петербург,Канцтовары,1827.0,1011.0,816.0,2,2.0
2023,8,Санкт-Петербург,Одежда,23981.0,10742.0,13239.0,5,5.0
2023,8,Санкт-Петербург,Продукты,5188.0,1533.0,3655.0,4,7.0
2023,8,Санкт-Петербург,Электроника,114846.0,25096.0,89750.0,4,14.0
2023,9,Екатеринбург,Канцтовары,5875.0,2924.0,2951.0,2,12.0
2023,9,Екатеринбург,Продукты,1962.0,550.0,1413.0,2,6.0
2023,9,Екатеринбург,Электроника,26312.0,5278.0,21034.0,1,5.0
2023,9,Казань,Бытовая техника,65570.0,20258.0,45312.0,2,5.0
2023,9,Казань,Канцтовары,2294.0,1302.0,992.0,2,4.0
2023,9,Казань,Одежда,3482.0,1380.0,2102.0,1,2.0
2023,9,Казань,Продукты,5327.0,4367.0,961.0,2,4.0
2023,9,Казань,Электроника,115070.0,26060.0,89010.0,4,6.0
2023,9,Москва,Бытовая техника,79089.0,23055.0,56034.0,8,18.0
2023,9,Москва,Канцтовары,13829.0,6694.0,7135.0,7,16.0
2023,9,Москва,Одежда,60901.0,30049.0,30852.0,3,10.0
2023,9,Москва,Продукты,5378.0,4671.0,707.0,3,3.0
2023,9,Москва,Электроника,81835.0,19225.0,62610.0,2,5.0
2023,9,Новосибирск,Бытовая техника,22193.0,6103.0,16091.0,3,6.0
2023,9,Новосибирск,Канцтовары,3384.0,1578.0,1806.0,3,4.0
2023,9,Новосибирск,Одежда,4830.0,-4595.0,9425.0,1,2.0
2023,9,Новосибирск,Электроника,340270.0,83737.0,256532.0,1,12.0
2023,9,Ростов-на-Дону,Бытовая техника,4830.0,-66942.0,71772.0,1,8.0
2023,9,Ростов-на-Дону,Канцтовары,6926.0,3143.0,3783.0,4,13.0
2023,9,Ростов-на-Дону,Одежда,9621.0,4184.0,5437.0,1,2.0
2023,9,Ростов-на-Дону,Продукты,989.0,296.0,692.0,2,4.0
2023,9,Ростов-на-Дону,Электроника,235706.0,52415.0,183291.0,1,10.0
2023,9,Самара,Бытовая техника,16044.0,3976.0,12068.0,1,3.0
2023,9,Самара,Одежда,4503.0,2011.0,2492.0,1,1.0
2023,9,Самара,Продукты,5763.0,1881.0,3882.0,2,22.0
2023,9,Самара,Электроника,7010.0,1421.0,5590.0,2,2.0
2023,9,Санкт-Петербург,Бытовая техника,68133.0,17588.0,50546.0,3,9.0
2023,9,Санкт-Петербург,Канцтовары,5655.0,2533.0,3122.0,3,6.0
2023,9,Санкт-Петербург,Одежда,35658.0,12359.0,23299.0,4,7.0
2023,9,Санкт-Петербург,Продукты,6823.0,2153.0,4670.0,4,13.0
2023,9,Санкт-Петербург,Электроника,81867.0,19591.0,62276.0,2,4.0
2023,10,Екатеринбург,Бытовая техника,30307.0,9270.0,21037.0,2,6.0
2023,10,Екатеринбург,Одежда,9132.0,4604.0,4528.0,2,2.0
2023,10,Екатеринбург,Электроника,130233.0,31654.0,98580.0,2,5.0
2023,10,Казань,Одежда,25101.0,13217.0,11884.0,1,3.0
2023,10,Казань,Продукты,9258.0,4318.0,4941.0,4,12.0
2023,10,Москва,Бытовая техника,122973.0,37091.0,85882.0,5,12.0
2023,10,Москва,Канцтовары,5559.0,2831.0,2728.0,1,7.0
2023,10,Москва,Одежда,112657.0,48237.0,64420.0,3,18.0
2023,10,Москва,Продукты,14369.0,7654.0,6715.0,7,13.0
2023,10,Москва,Электроника,99091.0,22749.0,76342.0,5,14.0
2023,10,Новосибирск,Бытовая техника,3529.0,1047.0,2482.0,1,1.0
2023,10,Новосибирск,Канцтовары,5322.0,3718.0,1604.0,2,4.0
2023,10,Новосибирск,Одежда,43129.0,18147.0,24982.0,3,10.0
2023,10,Новосибирск,Продукты,2882.0,982.0,1900.0,2,11.0
2023,10,Новосибирск,Электроника,11025.0,2384.0,8641.0,2,2.0
2023,10,Ростов-на-Дону,Одежда,11440.0,5094.0,6346.0,2,2.0
2023,10,Самара,Бытовая техника,27022.0,8582.0,18440.0,3,6.0
2023,10,Самара,Канцтовары,2506.0,1158.0,1348.0,3,4.0
2023,10,Санкт-Петербург,Бытовая техника,8975.0,2909.0,6066.0,1,2.0
2023,10,Санкт-Петербург,Канцтовары,430.0,225.0,205.0,1,1.0
2023,10,Санкт-Петербург,Одежда,16260.0,7676.0,8584.0,3,3.0
2023,10,Санкт-Петербург,Продукты,11759.0,6592.0,5167.0,4,11.0
2023,10,Санкт-Петербург,Электроника,199659.0,39790.0,159869.0,3,8.0
2023,11,Екатеринбург,Канцтовары,420.0,172.0,247.0,1,1.0
2023,11,Екатеринбург,Продукты,2493.0,667.0,1826.0,1,4.0
2023,11,Екатеринбург,Электроника,293736.0,62326.0,231409.0,2,14.0
2023,11,Казань,Бытовая техника,39365.0,12753.0,26612.0,1,3.0
2023,11,Казань,Канцтовары,9047.0,5057.0,3990.0,4,9.0
2023,11,Казань,Одежда,1724.0,686.0,1038.0,1,2.0
2023,11,Казань,Продукты,8755.0,2943.0,5813.0,2,18.0
2023,11,Казань,Электроника,251323.0,51665.0,199658.0,1,9.0
2023,11,Москва,Бытовая техника,2965.0,977.0,1988.0,1,1.0
2023,11,Москва,Канцтовары,19066.0,11781.0,7285.0,4,22.0
2023,11,Москва,Одежда,103169.0,41026.0,62142.0,4,15.0
2023,11,Москва,Продукты,3918.0,1283.0,2636.0,4,9.0
2023,11,Москва,Электроника,100858.0,20106.0,80752.0,3,6.0
2023,11,Новосибирск,Бытовая техника,175605.0,44685.0,130920.0,1,15.0
2023,11,Новосибирск,Одежда,8510.0,3114.0,5397.0,1,2.0
2023,11,Новосибирск,Продукты,1480.0,356.0,1124.0,1,3.0
2023,11,Новосибирск,Электроника,45212.0,9545.0,35666.0,2,3.0
2023,11,Ростов-на-Дону,Бытовая техника,30395.0,9082.0,21313.0,1,6.0
2023,11,Ростов-на-Дону,Канцтовары,15786.0,7176.0,8610.0,3,14.0
2023,11,Ростов-на-Дону,Одежда,138164.0,59337.0,78826.0,3,24.0
2023,11,Ростов-на-Дону,Продукты,11671.0,6550.0,5122.0,4,17.0
2023,11,Ростов-на-Дону,Электроника,142999.0,29544.0,113455.0,2,8.0
2023,11,Самара,Бытовая техника,56172.0,17710.0,38462.0,3,15.0
2023,11,Самара,Канцтовары,4593.0,2107.0,2486.0,1,10.0
2023,11,Самара,Одежда,2032.0,886.0,1145.0,1,1.0
2023,11,Самара,Продукты,272.0,86.0,186.0,1,1.0
2023,11,Самара,Электроника,94284.0,18152.0,76131.0,2,5.0
2023,11,Санкт-Петербург,Бытовая техника,10145.0,2358.0,7787.0,1,2.0
2023,11,Санкт-Петербург,Канцтовары,8895.0,5333.0,3562.0,1,8.0
2023,11,Санкт-Петербург,Одежда,47386.0,21330.0,26056.0,2,13.0
2023,11,Санкт-Петербург,Продукты,516.0,168.0,348.0,2,2.0
2023,11,Санкт-Петербург,Электроника,72300.0,16303.0,55997.0,3,4.0
2023,12,Екатеринбург,Бытовая техника,40238.0,12376.0,27863.0,2,10.0
2023,12,Екатеринбург,Канцтовары,1366.0,633.0,733.0,1,2.0
2023,12,Екатеринбург,Одежда,55674.0,26395.0,29280.0,2,12.0
2023,12,Екатеринбург,Продукты,1801.0,452.0,1350.0,1,4.0
2023,12,Екатеринбург,Электроника,94204.0,22909.0,71295.0,3,10.0
2023,12,Казань,Канцтовары,361.0,162.0,199.0,1,1.0
2023,12,Казань,Одежда,32846.0,17360.0,15486.0,1,5.0
2023,12,Казань,Продукты,1907.0,622.0,1285.0,1,3.0
2023,12,Москва,Бытовая техника,14532.0,3945.0,10588.0,3,3.0
2023,12,Москва,Канцтовары,7816.0,3461.0,4355.0,3,8.0
2023,12,Москва,Одежда,42967.0,19630.0,23338.0,2,19.0
2023,12,Москва,Продукты,3639.0,1181.0,2458.0,4,7.0
2023,12,Москва,Электроника,63322.0,13510.0,49813.0,4,11.0
2023,12,Новосибирск,Канцтовары,392.0,228.0,164.0,1,1.0
2023,12,Новосибирск,Электроника,11417.0,2879.0,8538.0,1,3.0
2023,12,Ростов-на-Дону,Бытовая техника,7221.0,2288.0,4933.0,1,2.0
2023,12,Ростов-на-Дону,Одежда,41566.0,16704.0,24861.0,2,5.0
2023,12,Ростов-на-Дону,Продукты,8111.0,4416.0,3694.0,3,8.0
2023,12,Самара,Одежда,24434.0,12633.0,11800.0,1,3.0
2023,12,Самара,Продукты,2642.0,797.0,1845.0,3,4.0
2023,12,Самара,Электроника,17848.0,4244.0,13603.0,1,1.0
2023,12,Санкт-Петербург,Бытовая техника,205570.0,59945.0,145626.0,6,33.0
2023,12,Санкт-Петербург,Канцтовары,9219.0,4892.0,4327.0,5,19.0
2023,12,Санкт-Петербург,Продукты,5220.0,1410.0,3810.0,1,6.0
2023,12,Санкт-Петербург,Электроника,736574.0,167326.0,569248.0,6,39.0
2024,1,Екатеринбург,Канцтовары,1932.0,927.0,1005.0,2,2.0
2024,1,Екатеринбург,Одежда,4120.0,2203.0,1917.0,1,1.0
2024,1,Екатеринбург,Продукты,921.0,296.0,625.0,1,4.0
2024,1,Екатеринбург,Электроника,20181.0,4678.0,15503.0,1,2.0
2024,1,Казань,Бытовая техника,15661.0,4416.0,11245.0,2,3.0
2024,1,Казань,Канцтовары,11509.0,5804.0,5705.0,3,17.0
2024,1,Казань,Продукты,2047.0,557.0,1490.0,1,8.0
2024,1,Казань,Электроника,76262.0,14932.0,61329.0,1,4.0
2024,1,Москва,Бытовая техника,183513.0,49193.0,134321.0,10,36.0
2024,1,Москва,Канцтовары,6508.0,2912.0,3596.0,2,11.0
2024,1,Москва,Одежда,153194.0,47323.0,105871.0,4,27.0
2024,1,Москва,Продукты,3672.0,1103.0,2569.0,3,7.0
2024,1,Москва,Электроника,184045.0,44605.0,139440.0,4,11.0
2024,1,Новосибирск,Бытовая техника,5996.0,1475.0,4522.0,1,2.0
2024,1,Новосибирск,Канцтовары,437.0,242.0,196.0,1,1.0
2024,1,Новосибирск,Одежда,18253.0,8046.0,10207.0,1,2.0
2024,1,Новосибирск,Продукты,5369.0,1532.0,3837.0,4,14.0
2024,1,Новосибирск,Электроника,11013.0,2785.0,8228.0,1,2.0
2024,1,Ростов-на-Дону,Бытовая техника,41385.0,13506.0,27879.0,1,8.0
2024,1,Ростов-на-Дону,Одежда,40451.0,15914.0,24538.0,4,9.0
2024,1,Ростов-на-Дону,Продукты,1067.0,331.0,737.0,1,4.0
2024,1,Ростов-на-Дону,Электроника,15209.0,2829.0,12380.0,1,3.0
2024,1,Самара,Канцтовары,1705.0,846.0,859.0,3,3.0
2024,1,Самара,Одежда,41958.0,16778.0,25179.0,2,5.0
2024,1,Самара,Продукты,13634.0,4033.0,9602.0,6,26.0
2024,1,Самара,Электроника,28538.0,5956.0,22581.0,1,1.0
2024,1,Санкт-Петербург,Бытовая техника,19703.0,5785.0,13918.0,3,3.0
2024,1,Санкт-Петербург,Канцтовары,10118.0,4880.0,5237.0,3,11.0
